speaker,party,state
Pompeo de Mattos,PDT,RS
Professor Gedeão Amorim,MDB,AM
Professor Sérgio de Oliveira,PSD,PR
Professor Victório Galli,PSL,MT
Professora Dorinha Seabra Rezende,DEM,TO
Professora Marcivania,PCdoB,AP
Rafael Motta,PSB,RN
Raimundo Gomes de Matos,PSDB,CE
Raquel Muniz,PSD,MG
Raul Jungmann,PPS,PE
Reginaldo Lopes,PT,MG
Reinhold Stephanes,PSD,PR
Rejane Dias,PT,PI
Remídio Monai,PR,RR
Renata Abreu,PODE,SP
Renato Andrade,PP,MG
Renato Molling,PP,RS
Ricardo Barros,PP,PR
Ricardo Izar,PP,SP
Ricardo Teobaldo,PODE,PE
Ricardo Tripoli,PSDB,SP
Roberto Alves,PRB,SP
Roberto Balestra,PP,GO
Roberto Britto,PP,BA
Roberto Freire,PPS,SP
Roberto Goés,PDT,AP
Roberto Pacheco,PMDB,RO
Roberto Sales,DEM,RJ
Roberto de Lucena,PODE,SP
Rocha,PSDB,AC
Rodrigo Maia,DEM,RJ
Rodrigo Martins,PSB,PI
Rodrigo Pacheco,DEM,MG
Rodrigo de Castro,PSDB,MG
Rogério Marinho,PSDB,RN
Rogério Peninha Mendonça,MDB,SC
Rogério Rosso,PSD,DF
Ronaldo Benedet,MDB,SC
Ronaldo Fonseca,PODE,DF
Ronaldo Lessa,PDT,AL
Ronaldo Nogueira,PTB,RS
Rosangela Gomes,PRB,RJ
Rosinha da Adefal,AVANTE,AL
Rubens Bueno,PPS,PR
Rubens Otoni,PT,GO
Rubens Pereira Jr.,PCdoB,MA
Rômulo Gouveia,PSD,PB
Rôney Nemer,PP,DF
Sabino Castelo Branco,PTB,AM
Samuel Moreira,PSDB,SP
Sandro Alex,PSD,PR
Saraiva Felipe,MDB,MG
Sarney Filho,PV,MA
Sergio Souza,MDB,PR
Sergio Vidigal,PDT,ES
Sergio Zveiter,DEM,RJ
Severino Ninho,PSB,PE
Shéridan,PSDB,RR
Sibá Machado,PT,AC
Silas Brasileiro,MDB,MG
Silas Câmara,PRB,AM
Silas Freire,PODE,PI
Silvio Costa,AVANTE,PE
Silvio Torres,PSDB,SP
Simone Morgado,MDB,PA
Simão Sessim,PP,RJ
Soraya Santos,PR,RJ
Subtenente Gonzaga,PDT,MG
Ságuas Moraes,PT,MT
Sérgio Brito,PSD,BA
Sérgio Moraes,PTB,RS
Sérgio Reis,PRB,SP
Sérgio Vidigal,PDT,ES
Sérgio de Castro,PDT,MG
Sóstenes Cavalcante,DEM,RJ
Tadeu Alencar,PSB,PE
Takayama,PSC,PR
Tenente Lúcio,PR,MG
Tereza Cristina,DEM,MS
Thiago Peixoto,PSD,GO
Tia Eron,PRB,BA
Toninho Pinheiro,PP,MG
Toninho Wandscheer,PROS,PR
Uldurico Jr.,PPL,BA
Valadares Filho,PSB,SE
Valdir Colatto,MDB,SC
Valmir Assunção,PT,BA
Valmir Prascidelli,PT,SP
Valtenir Pereira,MDB,MT
Vanderlei Macris,PSDB,SP
Veneziano Vital do Rêgo,PSB,PB
Vicente Arruda,PR,CE
Vicente Candido,PT,SP
Vicentinho,PT,SP
Vicentinho Jr.,PR,TO
Victor Mendes,MDB,MA
Vilson Covatti,PP,RS
Vinicius Carvalho,PRB,SP
Vitor Lippi,PSDB,SP
Vitor Valim,PROS,CE
Wadih Damous,PT,RJ
Wadson Ribeiro,PCdoB,MG
Waldenor Pereira,PT,BA
Waldir Maranhão,PSDB,MA
Walney Rocha,PATRI,RJ
Walter Ihoshi,PSD,SP
Washington Coração Valente,PDT,RS
Washington Reis,MDB,RJ
Weliton Prado,PROS,MG
Wellington Roberto,PR,PB
Weverton Rocha,PDT,MA
William Woo,PP,SP
Wilson Beserra,MDB,RJ
Wilson Filho,PTB,PB
Wladimir Costa,SD,PA
Wolney Queiroz,PDT,PE
Xuxu Dal Molin,PSC,MT
Yeda Crusius,PSDB,RS
Zeca Cavalcanti,PTB,PE
Zeca Dirceu,PT,PR
Zeca do PT,PT,MS
Zenaide Maia,PHS,RN
Zé Augusto Nalin,DEM,RJ
Zé Carlos,PT,MA
Zé Geraldo,PT,PA
Zé Silva,SD,MG
Átila Lins,PP,AM
Átila Lira,PSB,PI
